Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season
Jed Zayner,DC ,D,4,4,311,0,1,0,0,0,0/0,0,0,0,0,0,1,0,0.29,9,4,0,0,0,,2011,reg
Chris Leitch,SJ ,D,14,12,1115,0,1,1,1,0,0/0,0,0,0,0,1,0,1,0.08,8,9,1,3,0,100,2011,reg
Didier Domi,NE ,D,9,8,680,0,1,3,0,0,0/0,0,0,0,0,0,0,1,0.13,8,4,0,1,0,0,2011,reg
Michael Videira,CHI,M,9,7,493,0,1,3,1,0,0/0,0,0,0,0,0,1,0,0.18,10,0,0,2,0,33.33,2011,reg
Anthony Wallace,COL,D,10,8,719,0,1,4,0,0,0/0,0,0,0,0,1,1,0,0.13,7,5,0,3,0,0,2011,reg
Leonardo González,SEA,D,14,12,1069,0,1,4,1,0,0/0,0,0,0,0,1,1,0,0.08,22,8,1,5,0,25,2011,reg
Wes Knight,VAN,D,12,10,805,0,1,5,1,0,0/0,0,0,0,0,0,1,0,0.11,8,4,2,0,0,20,2011,reg
Tony Beltran,RSL,D,22,19,1731,0,1,5,3,0,0/0,0,0,0,0,1,0,1,0.05,14,20,1,1,1,60,2011,reg
Gregg Berhalter,LA ,D,10,8,748,0,1,5,1,0,0/0,0,0,0,0,1,1,0,0.12,13,8,0,3,0,20,2011,reg
Jermaine Taylor,HOU,D,13,10,925,0,1,5,0,0,0/0,0,0,0,0,0,0,1,0.1,9,1,0,2,0,0,2011,reg
Gianluca Zavarise,TOR,M,14,4,569,0,1,6,1,0,0/0,0,0,0,0,0,1,0,0.16,7,13,3,1,1,16.67,2011,reg
Tim Ream,NY ,D,28,28,2520,0,1,6,3,0,0/0,0,0,0,0,0,0,1,0.04,10,9,0,2,0,50,2011,reg
Brian Umony,POR,F,6,0,131,0,1,6,2,0,0/0,0,0,0,0,0,0,1,0.69,3,1,4,1,0,33.33,2011,reg
Michael Stephens,LA ,M,25,12,1109,0,1,7,2,0,0/0,0,0,0,0,0,0,1,0.08,13,4,0,3,0,28.57,2011,reg
Tyrone Marshall,COL,D,27,24,2177,0,1,7,0,0,0/0,0,0,0,0,0,0,1,0.04,24,14,0,4,0,0,2011,reg
Paulo Nagamura,CHV,M,11,6,544,0,1,8,0,0,0/0,0,0,0,0,1,1,0,0.17,9,6,0,2,0,0,2011,reg
Chris Wingert,RSL,D,23,22,1915,0,1,9,2,0,0/0,0,0,0,0,0,1,0,0.05,32,10,0,5,0,22.22,2011,reg
Torsten Frings,TOR,M,13,13,1124,0,1,9,4,0,0/0,0,0,0,0,0,0,1,0.08,8,11,1,0,0,44.44,2011,reg
Fred,DC ,M,17,5,596,0,1,10,1,0,0/0,0,0,0,0,0,0,1,0.15,14,10,1,3,0,10,2011,reg
Jhon Kennedy Hurtado,SEA,D,23,23,1945,0,1,10,1,0,0/0,0,0,0,0,0,1,0,0.05,30,16,1,4,2,10,2011,reg
Corben Bone,CHI,M,10,7,534,0,1,10,4,0,0/0,0,0,0,0,0,0,1,0.17,2,1,0,0,0,40,2011,reg
Birahim Diop,KC ,M,18,8,761,0,1,10,1,0,0/0,0,0,0,0,0,0,1,0.12,19,6,0,3,0,10,2011,reg
Matt Stinson,TOR,M,13,5,675,0,1,10,1,0,0/0,0,0,0,0,1,1,0,0.13,11,6,1,1,0,10,2011,reg
Jeb Brovsky,VAN,D,24,16,1509,0,1,11,2,0,0/0,0,0,0,0,0,1,0,0.06,24,13,0,4,0,18.18,2011,reg
Brad Ring,SJ ,D,21,17,1600,0,1,11,2,0,0/0,0,0,0,0,1,1,0,0.06,33,25,0,7,0,18.18,2011,reg
Bobby Burling,SJ ,D,23,23,2041,0,1,11,2,0,0/0,0,0,0,0,0,0,1,0.04,22,17,0,4,2,18.18,2011,reg
Kevin Burns,CLB,M,19,15,1243,0,1,11,2,0,0/0,0,0,0,0,1,1,0,0.07,12,7,2,4,0,18.18,2011,reg
Kevin Alston,NE ,D,33,33,2954,0,1,13,1,0,0/0,0,0,0,0,0,0,1,0.03,25,45,0,1,0,7.69,2011,reg
Chad Marshall,CLB,D,32,32,2835,0,1,15,6,0,0/0,0,0,0,0,0,1,0,0.03,19,28,1,2,0,40,2011,reg
Jéferson,KC ,M,9,8,571,0,1,17,3,0,0/0,0,0,0,0,1,1,0,0.16,4,1,1,1,0,17.65,2011,reg
Arturo Alvarez,RSL,M,16,8,724,0,1,18,1,0,0/0,0,0,0,0,0,1,0,0.12,12,9,3,0,0,5.56,2011,reg
Chance Myers,KC ,D,28,24,2209,0,1,21,5,0,0/0,0,0,0,0,0,1,0,0.04,35,21,1,1,0,23.81,2011,reg
Mikael Yourassowsky,TOR,D,21,13,1302,0,1,21,4,0,0/0,0,0,0,0,0,0,1,0.07,26,27,6,4,1,19.05,2011,reg
Daniel Paladini,CHI,M,23,16,1491,0,1,37,14,0,0/0,0,0,0,0,1,0,1,0.06,37,15,1,7,0,37.84,2011,reg
Alexandre Morfaw,VAN,M,2,1,135,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,2,0,0,0,,2011,reg
Eddy Viator,TOR,D,3,2,186,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,0,0,2,0,,2011,reg
Miguel Comminges,COL,D,4,4,322,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,1,1,,2011,reg
Marko Maric,CHI,M,1,0,19,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,,2011,reg
Taylor Graham,SEA,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Shavar Thomas,KC ,D,3,0,35,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,1,0,,2011,reg
Rodrigo López,POR,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Jason Hernandez,SJ ,D,28,28,2491,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,23,14,0,4,0,,2011,reg
Rauwshan McKenzie,RSL,D,2,2,180,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,2,0,0,0,,2011,reg
Joe Tait,PHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Kyle Davies,DAL,D,1,0,21,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2011,reg
Brian Nielsen,NY ,M,1,0,4,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2011,reg
Michael Holody,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Mike Banner,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Danny O'Rourke,CLB,D,6,5,471,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,11,3,0,1,0,,2011,reg
Devon McTavish,DC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Kurt Morsink,DC ,M,2,2,157,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,3,0,1,0,,2011,reg
Ousmane Dabo,NE ,M,3,3,148,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2011,reg
Elbekay Bouchiba,TOR,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Carl Robinson,NY ,M,2,0,54,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,2,0,0,0,0,,2011,reg
Nick Kounenakis ,KC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Nery Castillo,CHI,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Eddie Robinson,HOU,D,2,2,146,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,4,0,0,0,,2011,reg
André Luiz,SJ ,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Blaise Nkufo,SEA,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Bratislav Ristic,CHI,M,9,5,413,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,5,6,0,1,0,,2011,reg
Peterson Joseph,KC ,M,1,0,8,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Chukwudi Chijindu,CHV,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Amadou Sanyang,SEA,D,1,0,8,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Daneil Cyrus,KC ,D,2,1,108,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,4,1,0,1,0,,2011,reg
Francisco Navas Cobo,HOU,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Edson Edward,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Kwame Watson-Siriboe,CHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Korede Aiyegbusi,KC ,D,3,1,94,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2011,reg
Mike Seamon,SEA,M-F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Steven Kinney,CHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Miguel Montaño,SEA,F,2,0,31,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,1,1,0,0,,2011,reg
Omar Jasseh,SJ ,M,1,0,13,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Jordan Graye,HOU,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Bryan Leyva,DAL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Juan Diego González,PHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Nicholas Lindsay,TOR,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Junior Carreiro,DC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Bryan de la Fuente,CHV,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Philippe Davies,VAN,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Andy Adlard,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Ben Sippola,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Korey Veeder,CLB,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Josh Williams,CLB,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Michael Tetteh,SEA,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Steven Emory,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Conor Shanosky,DC ,M-D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Cole Grossman,CLB,M,2,0,12,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Marcos Paullo,NY ,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Davy Armstrong,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Victor Pineda,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Hector Jimenez,CLB,M,2,1,115,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,1,0,0,,2011,reg
Dustin McCarty,LA ,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Ryan Thomas,LA ,D,1,0,13,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2011,reg
Mike Jones,KC ,D,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Josue Soto,HOU,D-M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Ryan Richter,PHI,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Chris Taylor,POR,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Freddie Braun ,POR,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Sean Alvarado,LA ,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Demitrius Omphroy,TOR,D,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2011,reg
Davis Paul,CHI,F,1,1,45,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Spencer Thompson,POR,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Levi Houapeu,PHI,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Rodrigo Brasesco,DC ,D,3,2,155,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,,2011,reg
Scott Lorenz,KC ,D,1,1,84,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,0,0,,2011,reg
Konrad Warzycha,KC ,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Kevin Ellis,KC ,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Alan Koger,NE ,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Michael Augustine,NE ,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Andrew Sousa,NE ,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Ryan Kinne,NE ,M,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Chris Agorsor,PHI,F,1,0,10,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Sacir Hot,NY ,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Moises Hernandez,DAL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Victor Ulloa,MIA,M,1,0,9,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Jonathan Top,DAL,F,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Maxwell Griffin,SJ ,F,4,0,46,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,3,0,0,,2011,reg
Lawrence Olum,KC ,D,1,0,13,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Carlyle Mitchell,VAN,D,3,3,241,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,3,1,0,0,0,,2011,reg
Morgan Langley,PHI,M,1,0,10,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2011,reg
Yordany Álvarez,RSL,M,5,4,419,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,21,4,0,4,0,,2011,reg
Nico Muñiz,RSL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Eddie Ababio,COL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Santiago Prim,CLB,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Aaron Horton,CLB,F,1,0,1,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Tyler Lassiter,NY ,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Seth Owusu,CHV,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Matt Gold,TOR,D,3,0,45,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2011,reg
Pari Pantazopoulos,CHI,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Otto Loewy,NE ,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Josh Janniere,COL,M,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Donny Toia,RSL,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Teddy Schneider,NY ,D,0,0,0,0,0,0,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2011,reg
Bilal Duckett,VAN,D,4,2,226,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,4,1,0,1,0,100,2011,reg
Corey Hertzog,NY ,F,5,0,35,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,100,2011,reg
Matt Kassel,NY ,D-M,2,0,82,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,2011,reg
Mouloud Akloul,VAN,D,8,7,625,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,7,6,1,2,0,100,2011,reg
Cody Arnoux,RSL,F,2,0,69,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2011,reg
Matt Luzunaris,SJ ,F,6,0,63,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,2011,reg
Edmundo Zura,SJ ,F,1,0,19,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Danny Earls,COL,D,4,3,224,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,0,2,0,0,0,100,2011,reg
Chris Albright,NY ,D,8,6,482,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,4,8,1,0,0,0,2011,reg
Leandre Griffit,CLB,M,1,0,2,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2011,reg
Tim Ward,SJ ,D,3,2,226,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2011,reg
Gabriel Ferrari,CHI,F,3,0,17,0,0,1,1,0,0/0,0,0,0,0,0,0,0,0,3,1,0,0,0,100,2011,reg
Greg Janicki,VAN,D,10,8,752,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,13,5,1,1,0,0,2011,reg
John Rooney,NY ,M,5,0,48,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Peter Lowry,POR,M,3,2,146,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2011,reg
Kevin Harmse,VAN,M,3,1,126,0,0,1,0,0,0/0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,reg
Steve Purdy,POR,D,8,8,720,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,12,9,0,2,0,50,2011,reg
Brandon Barklage,DC ,D,4,0,38,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,1,0,0,0,0,50,2011,reg
Maykel Galindo,DAL,F,6,1,147,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2011,reg
Michael Harrington,KC ,D,23,16,1495,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,14,16,0,5,0,0,2011,reg
Carlos Mendes,NY ,D,18,16,1505,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,21,9,0,3,0,50,2011,reg
Craig Rocastle,KC ,M,6,5,306,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,2011,reg
Peter Vagenas,VAN,M,16,13,1042,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,2011,reg
Frankie Hejduk,LA ,D,6,6,472,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,13,1,0,5,0,50,2011,reg
Ross LaBauex,COL,M,11,4,313,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,5,8,2,3,0,50,2011,reg
Tristan Bowen,CHV,F,3,0,60,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2011,reg
Darrius Barnes,NE ,D,28,22,2153,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,14,12,1,1,0,50,2011,reg
Dejan Jakovic,LAFC,D,15,15,1324,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,18,9,0,3,1,50,2011,reg
Andrew Wiedeman,DAL,F,3,0,59,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,0,1,1,0,0,50,2011,reg
Justin Morrow,TOR,D,9,9,810,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,9,5,1,1,0,0,2011,reg
Russell Teibert,VAN,M,11,5,503,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,2011,reg
Doneil Henry,TOR,D,10,6,503,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,7,1,1,1,0,50,2011,reg
Joseph Nane,COL,M,10,2,308,0,0,2,1,0,0/0,0,0,0,0,0,0,0,0,6,3,0,0,0,50,2011,reg
Michael Nanchoff,VAN,M,5,1,137,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2011,reg
Kofi Sarkodie,HOU,D,7,7,582,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,10,6,0,2,1,0,2011,reg
Michael Boxall,MIN,D,19,18,1616,0,0,2,2,0,0/0,0,0,0,0,0,0,0,0,25,10,0,3,0,100,2011,reg
Keith Makubuya,TOR,F,1,0,45,0,0,2,0,0,0/0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,reg
Artur Aghasyan,RSL,F,4,1,98,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,2011,reg
Oscar Cordon,TOR,M,4,1,144,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,6,2,0,1,0,33.33,2011,reg
Zach Pfeffer,PHI,M,3,2,136,0,0,3,2,0,0/0,0,0,0,0,0,0,0,0,1,2,0,0,0,66.67,2011,reg
Eric Gehrig,CLB,D,8,4,474,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2011,reg
Dan Keat,LA ,M,5,1,117,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2011,reg
Shaun Francis,CLB,D,6,5,428,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,10,5,0,1,0,0,2011,reg
David Estrada,SEA,M-F,3,1,108,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2011,reg
Ike Opara,MIN,D,8,5,485,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,10,4,3,1,0,0,2011,reg
Dasan Robinson,CHI,D,6,3,338,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,4,9,1,1,0,0,2011,reg
Scott Sealy,SJ ,F,11,6,419,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,3,8,5,0,0,0,2011,reg
A.J. DeLaGarza,MIA,D,30,30,2627,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,31,31,1,3,0,33.33,2011,reg
Zach Scott,SEA,D,12,9,864,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,11,6,0,3,0,0,2011,reg
Adrian Cann,TOR,D,12,12,988,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,2011,reg
Kheli Dube,NE ,F,5,0,114,0,0,3,1,0,0/0,0,0,0,0,0,0,0,0,2,1,2,0,0,33.33,2011,reg
Nathan Sturgis,TOR,M,14,11,953,0,0,3,0,0,0/0,0,0,0,0,0,0,0,0,3,13,0,1,0,0,2011,reg
Jonathan Leathers,VAN,D,22,21,1840,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,15,8,0,3,0,25,2011,reg
David Júnior Lopes,CHV,D,8,7,580,0,0,4,0,0,0/0,0,0,0,0,0,0,0,0,13,8,0,2,1,0,2011,reg
Jay DeMerit,VAN,D,21,20,1671,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,20,13,1,4,0,25,2011,reg
Jason Garey,HOU,F,10,2,164,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,4,1,2,0,0,25,2011,reg
Ryan Pore,POR,M,8,2,200,0,0,4,0,0,0/0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,2011,reg
Jovan Kirovski,LA ,M-F,13,2,244,0,0,4,0,0,0/0,0,0,0,0,0,0,0,0,4,1,0,1,1,0,2011,reg
Josip Mikulic,CHI,D,14,12,1038,0,0,4,0,0,0/0,0,0,0,0,0,0,0,0,21,5,0,5,1,0,2011,reg
Franco Coria,NE ,D,18,14,1250,0,0,4,0,0,0/0,0,0,0,0,0,0,0,0,29,5,0,5,0,0,2011,reg
Zarek Valentin,HOU,D,25,24,2114,0,0,4,0,0,0/0,0,0,0,0,0,0,0,0,20,13,1,5,0,0,2011,reg
Dicoy Williams,TOR,D,8,7,655,0,0,4,1,0,0/0,0,0,0,0,0,0,0,0,10,2,0,1,0,25,2011,reg
Chris Cortez,CHV,F,9,1,207,0,0,5,1,0,0/0,0,0,0,0,0,0,0,0,7,3,2,1,0,20,2011,reg
John Thorrington,VAN,M,11,9,740,0,0,5,0,0,0/0,0,0,0,0,0,0,0,0,14,7,1,1,0,0,2011,reg
Macoumba Kandji,COL,F,9,1,123,0,0,5,1,0,0/0,0,0,0,0,0,0,0,0,2,3,2,0,0,20,2011,reg
Nana Attakora,SJ ,D,12,9,756,0,0,5,0,0,0/0,0,0,0,0,0,0,0,0,8,9,0,2,0,0,2011,reg
Ty Harden,TOR,D,26,24,2120,0,0,6,1,0,0/0,0,0,0,0,0,0,0,0,24,7,0,3,1,16.67,2011,reg
Blake Wagner,RSL,D-M,11,10,841,0,0,6,2,0,0/0,0,0,0,0,0,0,0,0,11,11,0,0,0,33.33,2011,reg
