Date,Open,High,Low,Close,Adj Close,Volume
8/14/2019,89.650497,89.782501,87.861,88.148003,88.148003,97872000
8/15/2019,89.099503,89.400002,88.098,88.806,88.806,75182000
8/16/2019,89.644501,90.1455,89.227501,89.628502,89.628502,60360000
8/19/2019,90.903999,91.300003,90.630501,90.806,90.806,56326000
8/20/2019,90.724998,90.841003,89.994003,90.069,90.069,38590000
8/21/2019,90.969498,91.478996,90.75,91.177002,91.177002,40636000
8/22/2019,91.400002,91.470497,90.004997,90.233002,90.233002,53070000
8/23/2019,89.651497,90.245003,87.261497,87.481003,87.481003,105416000
8/26/2019,88.345497,88.5,87.175499,88.443497,88.443497,61600000
8/27/2019,88.786499,88.970001,87.334,88.091499,88.091499,60394000
8/28/2019,87.75,88.392998,87.202499,88.212502,88.212502,48394000
8/29/2019,89.150002,89.927498,88.862503,89.32,89.32,60302000
8/30/2019,89.874496,89.987,88.2285,88.814499,88.814499,61174000
9/3/2019,88.5,90.040001,88.400002,89.491997,89.491997,70860000
9/4/2019,90.25,90.3815,89.811501,90.030998,90.030998,46482000
9/5/2019,91.097504,92.099998,90.778999,92.036003,92.036003,66216000
9/6/2019,91.911003,92.032501,91.32,91.675499,91.675499,49938000
9/9/2019,92.050003,92.5,91.230499,91.567497,91.567497,59990000
9/10/2019,91.137497,91.290497,90.266998,91.027496,91.027496,52278000
9/11/2019,90.607002,91.670998,90.454002,91.149498,91.149498,48656000
9/12/2019,91.8815,92.682999,91.713997,92.177498,92.177498,56470000
9/13/2019,92.100502,92.306,91.758499,91.967003,91.967003,39426000
9/16/2019,91.200996,91.2845,90.010002,90.391998,90.391998,73510000
9/17/2019,90.353996,91.199501,90.205002,91.127502,91.127502,39648000
9/18/2019,90.851997,91.102997,89.775002,90.873001,90.873001,50112000
9/19/2019,91.051003,91.628502,90.894997,91.074997,91.074997,40630000
9/20/2019,91.085503,91.531502,89.045998,89.708,89.708,106838000
9/23/2019,88.849998,89.635002,88.365997,89.264999,89.264999,58446000
9/24/2019,89.530502,89.7855,86.777496,87.080498,87.080498,92320000
9/25/2019,87.367996,88.650002,86.150002,88.416496,88.416496,69864000
9/26/2019,88.139503,88.168503,86.574997,86.991997,86.991997,70736000
