country,subdivision,temp_c,rel_humid,wind_speed,year
Brazil,Sao Paulo,21.754571365698776,72.69654947204577,5.488526846581687,2011
Brazil,Sao Paulo,22.063042182636913,71.24547799394917,5.3247135468251345,2012
Brazil,Sao Paulo,21.7639536063925,72.45780330567811,5.598107743610113,2013
Brazil,Sao Paulo,23.031999932328983,65.58914438547936,5.695102940680538,2014
Brazil,Sao Paulo,22.821285896647044,71.46511906514537,5.390953540327361,2015
Brazil,Sao Paulo,22.094072282328174,71.3891643970152,5.49284041556243,2016
Brazil,Sao Paulo,22.335736646448836,70.15637561317449,5.569773539465507,2017
Brazil,Sao Paulo,22.341956655883617,71.19166514757148,5.361210213035499,2018
Brazil,Sao Paulo,22.723807467757982,70.75697143232662,5.44359758662893,2019
Brazil,Sao Paulo,22.53581267217631,67.58218699119108,5.753568624076245,2020
